model,train_size,mean_test_acc,std_test_acc,mean_train_acc,mean_cv_acc
LogisticRegression,0.2,0.47333333333333333,0.012137651797025388,0.500625,0.4839583333333333
LogisticRegression,0.5,0.47625,0.01599413955172333,0.498,0.4871666666666667
LogisticRegression,0.8,0.47854166666666664,0.009485460364860218,0.48828125,0.48156249999999995
MLP,0.2,0.8738020833333334,0.007940103739614094,0.9352083333333333,0.8672916666666666
MLP,0.5,0.9385833333333333,0.006236652414022557,0.9885833333333333,0.9173333333333332
MLP,0.8,0.950625,0.014320549046737052,0.9798958333333333,0.94296875
RandomForest,0.2,0.8883854166666666,0.0038411237640608676,1.0,0.8797916666666667
RandomForest,0.5,0.9448333333333333,0.0030138568866708505,1.0,0.9311666666666666
RandomForest,0.8,0.9656250000000001,0.007680128579652857,1.0,0.9575520833333333
SVM_RBF,0.2,0.9002083333333334,0.004783734376335465,0.98375,0.8962499999999999
SVM_RBF,0.5,0.9620833333333333,0.00014433756729744662,0.9978333333333333,0.9503333333333334
SVM_RBF,0.8,0.9812500000000001,0.0016535945694154232,0.9972395833333333,0.9728645833333333
