model,train_size,mean_test_acc,std_test_acc,mean_train_acc,mean_cv_acc
LogisticRegression,0.2,0.6400756564307967,0.0012525957108586695,0.6483088562527815,0.6448627341866073
LogisticRegression,0.5,0.6375166889185581,0.016319543835617904,0.6344904316866934,0.6303960836671116
LogisticRegression,0.8,0.6269470404984423,0.007679320839669495,0.6298119715175791,0.6279764354859267
MLP,0.2,0.9157209612817089,0.0034273285677423973,0.9742990654205608,0.9091001669449081
MLP,0.5,0.9360925678682688,0.016418277268741403,0.9706275033377837,0.9311971517578993
MLP,0.8,0.8948598130841122,0.019373527184154082,0.9324933244325768,0.899922865462741
RandomForest,0.2,0.8730251446372942,0.0050103828434346605,1.0,0.8721671304025227
RandomForest,0.5,0.916154873164219,0.0034994238777253175,1.0,0.9084112149532709
RandomForest,0.8,0.932799287939475,0.004724270971420094,1.0,0.9253169132534199
SVM_RBF,0.2,0.9368046283934134,0.004047134437493381,1.0,0.9311279910962714
SVM_RBF,0.5,0.9501112594570538,0.00823704789852928,0.9937694704049843,0.9465954606141521
SVM_RBF,0.8,0.8959724076546506,0.029682513511246327,0.9332721406319537,0.9090176600364628
