dataset,train_size,trial,model,best_params,cv_accuracy,train_accuracy,test_accuracy
Parkinsons,0.2,0,LogisticRegression,{'clf__C': 0.1},0.7678571428571429,0.8205128205128205,0.8461538461538461
Parkinsons,0.2,0,SVM_RBF,"{'clf__C': 10, 'clf__gamma': 0.1}",0.8214285714285714,1.0,0.7948717948717948
Parkinsons,0.2,0,RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 100}",0.7714285714285715,0.8717948717948718,0.7884615384615384
Parkinsons,0.2,0,MLP,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}",0.7392857142857142,0.7435897435897436,0.7243589743589743
Parkinsons,0.2,1,LogisticRegression,{'clf__C': 0.1},0.9214285714285714,0.9230769230769231,0.8397435897435898
Parkinsons,0.2,1,SVM_RBF,"{'clf__C': 10, 'clf__gamma': 'scale'}",0.8964285714285714,0.9743589743589743,0.8461538461538461
Parkinsons,0.2,1,RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.8714285714285713,1.0,0.8333333333333334
Parkinsons,0.2,1,MLP,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50, 50), 'clf__learning_rate_init': 0.01}",0.7964285714285715,0.8974358974358975,0.7948717948717948
Parkinsons,0.2,2,LogisticRegression,{'clf__C': 0.1},0.8464285714285713,0.8717948717948718,0.8717948717948718
Parkinsons,0.2,2,SVM_RBF,"{'clf__C': 1, 'clf__gamma': 'scale'}",0.8714285714285713,0.8717948717948718,0.8653846153846154
Parkinsons,0.2,2,RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.8678571428571429,1.0,0.8461538461538461
Parkinsons,0.2,2,MLP,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}",0.7964285714285715,0.8717948717948718,0.8525641025641025
Parkinsons,0.5,0,LogisticRegression,{'clf__C': 0.1},0.8142105263157895,0.865979381443299,0.8673469387755102
Parkinsons,0.5,0,SVM_RBF,"{'clf__C': 1, 'clf__gamma': 'scale'}",0.8557894736842104,0.8865979381443299,0.8673469387755102
Parkinsons,0.5,0,RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.8542105263157895,1.0,0.8775510204081632
Parkinsons,0.5,0,MLP,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,), 'clf__learning_rate_init': 0.01}",0.8352631578947369,0.7938144329896907,0.7857142857142857
Parkinsons,0.5,1,LogisticRegression,{'clf__C': 0.1},0.9068421052631578,0.9072164948453608,0.8061224489795918
Parkinsons,0.5,1,SVM_RBF,"{'clf__C': 10, 'clf__gamma': 0.1}",0.9273684210526316,0.9896907216494846,0.8775510204081632
Parkinsons,0.5,1,RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.8968421052631579,0.9381443298969072,0.8163265306122449
Parkinsons,0.5,1,MLP,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.01}",0.8552631578947368,0.865979381443299,0.7755102040816326
Parkinsons,0.5,2,LogisticRegression,{'clf__C': 100},0.9184210526315789,0.979381443298969,0.8367346938775511
Parkinsons,0.5,2,SVM_RBF,"{'clf__C': 10, 'clf__gamma': 'scale'}",0.9484210526315788,0.9896907216494846,0.8673469387755102
Parkinsons,0.5,2,RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.9384210526315788,1.0,0.8163265306122449
Parkinsons,0.5,2,MLP,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.01}",0.8352631578947369,0.9175257731958762,0.8367346938775511
Parkinsons,0.8,0,LogisticRegression,{'clf__C': 10},0.8715725806451614,0.8910256410256411,0.7948717948717948
Parkinsons,0.8,0,SVM_RBF,"{'clf__C': 10, 'clf__gamma': 0.1}",0.9421370967741935,1.0,0.8974358974358975
Parkinsons,0.8,0,RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.8715725806451614,1.0,0.9487179487179487
Parkinsons,0.8,0,MLP,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.01}",0.8655241935483872,0.8846153846153846,0.8717948717948718
Parkinsons,0.8,1,LogisticRegression,{'clf__C': 100},0.8338709677419356,0.8910256410256411,0.9230769230769231
Parkinsons,0.8,1,SVM_RBF,"{'clf__C': 100, 'clf__gamma': 0.1}",0.929233870967742,1.0,0.9230769230769231
Parkinsons,0.8,1,RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.8913306451612903,1.0,0.8974358974358975
Parkinsons,0.8,1,MLP,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50, 50), 'clf__learning_rate_init': 0.01}",0.8401209677419356,0.8717948717948718,0.8717948717948718
Parkinsons,0.8,2,LogisticRegression,{'clf__C': 0.1},0.8528225806451614,0.8653846153846154,0.8205128205128205
Parkinsons,0.8,2,SVM_RBF,"{'clf__C': 100, 'clf__gamma': 0.1}",0.9294354838709677,1.0,0.9230769230769231
Parkinsons,0.8,2,RandomForest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.8848790322580646,1.0,0.8205128205128205
